TextDate,Summary,MarketName,Period,ProfitAndLoss,Transaction type,Reference,Open level,Close level,Size,Currency,PL Amount,Cash transaction,DateUtc,OpenDateUtc,CurrencyIsoCode,Balance,Daily Return
23/06/2008,Closing trades,Spot FX GBP/CHF,-,0.0,DEAL,ASBZSHAH,20423.2,20483.2,-1,A$,-608.4,False,2008-06-22 23:58:03,2008-06-22 20:26:25,AUD,,0.0
23/06/2008,Closing trades,Spot FX GBP/CHF,-,0.0,DEAL,ASBZSHAH,20423.2,20483.2,-1,A$,-608.4,False,2008-06-22 23:58:03,2008-06-22 20:26:25,AUD,-768.8,3.7930174563591015
23/06/2008,Closing trades,Spot FX GBP/CHF,-,0.0,DEAL,ASBZSHAH,20423.2,20483.2,-1,A$,-608.4,False,2008-06-22 23:58:03,2008-06-22 20:26:25,AUD,,
23/06/2008,Closing trades,Spot FX GBP/CHF,-,0.0,DEAL,ASBZSHAH,20423.2,20483.2,-1,A$,-608.4,False,2008-06-22 23:58:03,2008-06-22 20:26:25,AUD,-768.8,3.7930174563591015
24/06/2008,Closing trades,Spot FX GBP/JPY,-,-122.45,DEAL,ASDHDXAH,21148.9,21198.9,-0.25,A$,-122.45,False,2008-06-23 17:22:12,2008-06-23 09:07:28,AUD,,0.0
24/06/2008,Closing trades,Spot FX GBP/JPY,-,-122.45,DEAL,ASDHDXAH,21148.9,21198.9,-0.25,A$,-122.45,False,2008-06-23 17:22:12,2008-06-23 09:07:28,AUD,-891.25,
24/06/2008,Closing trades,Spot FX GBP/JPY,-,-122.45,DEAL,ASDHDXAH,21148.9,21198.9,-0.25,A$,-122.45,False,2008-06-23 17:22:12,2008-06-23 09:07:28,AUD,-891.25,
24/06/2008,Closing trades,Spot FX GBP/JPY,-,-122.45,DEAL,ASDHDXAH,21148.9,21198.9,-0.25,A$,-122.45,False,2008-06-23 17:22:12,2008-06-23 09:07:28,AUD,,
24/06/2008,Closing trades,Spot FX (mini) EUR/CZK,-,0.0,DEAL,ASC2GCAH,24057.5,24093.5,-0.25,A$,-6.12,False,2008-06-23 22:53:08,2008-06-23 07:42:05,AUD,-897.37,0.006866760168303
24/06/2008,Closing trades,Spot FX (mini) EUR/CZK,-,0.0,DEAL,ASC2GCAH,24057.5,24093.5,-0.25,A$,-6.12,False,2008-06-23 22:53:08,2008-06-23 07:42:05,AUD,,
24/06/2008,Closing trades,Spot FX (mini) EUR/CZK,-,0.0,DEAL,ASC2GCAH,24057.5,24093.5,-0.25,A$,-6.12,False,2008-06-23 22:53:08,2008-06-23 07:42:05,AUD,,0.0
24/06/2008,Closing trades,Spot FX (mini) EUR/CZK,-,0.0,DEAL,ASC2GCAH,24057.5,24093.5,-0.25,A$,-6.12,False,2008-06-23 22:53:08,2008-06-23 07:42:05,AUD,-897.37,0.00686676016830301
